Unnamed: 0,Brand,Price,Processor_Name,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,SSD,HDD,Adapter,Battery_Life,Battery_Life_num
2431,ASUS,65680.0,Intel Core i5 (13th Gen),Not Expandable,16 GB , DDR4 RAM,0.4727272727272727,LCD,16 ,Iris Xe,512 GB SSD Storage,No HDD,0.0,Upto 6 Hrs Battery Life,6.0
2432,ASUS,54990.0,AMD Quad-Core Ryzen 5,Not Expandable,16 GB , DDR5 RAM,0.7636363636363637,LED,15.6 ,Radeon,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 8 Hrs Battery Life,8.0
2433,ASUS,48990.0,Intel Core i5 (11th Gen),Not Expandable,8 GB , DDR4 RAM,0.43636363636363634,LCD,14 ,UHD,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 6 Hrs Battery Life,6.0
2435,Lenovo,34990.0,Intel Core i3 (11th Gen), 12 GB Expandable,8 GB , DDR4 RAM ,0.5454545454545454,LCD,15.6 ,UHD,256 GB SSD Storage,No HDD,0.19696969696969696, Upto 5.5 Hrs Battery Life,5.5
2445,ASUS,63250.0,AMD Hexa-Core Ryzen 5, 32 GB Expandable,16 GB , DDR4 RAM ,0.7272727272727273,LCD,15.6 ,"GeForce GTX 1650 GPU, 4 GB",512 GB SSD Storage,No HDD,0.45454545454545453, Upto 8 Hrs Battery Life,8.0
2451,Dell,84999.0,AMD Octa-Core Ryzen 7,Not Expandable,16 GB , DDR4 RAM,0.6,LCD,15.6 ,"GeForce RTX 3050 GPU, 4 GB",512 GB SSD Storage,No HDD,0.19696969696969696, Upto 10 Hrs Battery Life,10.0
2452,ASUS,74990.0,Intel Core i5 (13th Gen), 16 GB Expandable,16 GB , DDR4 RAM ,0.8545454545454546,LED,15.6 ,Iris Xe,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 8 Hrs Battery Life,8.0
2453,Lenovo,31750.0,AMD Dual-Core Ryzen 3, 8 GB Expandable,8 GB , DDR4 RAM ,0.4727272727272727,LCD,15.6 ,Radeon Graphics,512 GB SSD Storage,No HDD,0.19696969696969696, Upto 9.5 Hrs Battery Life,9.5
2454,Lenovo,116990.0,AMD Octa-Core Ryzen 7, 32 GB Expandable,16 GB , DDR5 RAM ,0.6181818181818182,LCD,16 ,"GeForce RTX 4060 GPU, 8 GB",512 GB SSD Storage,No HDD,0.696969696969697, Upto 9.7 Hrs Battery Life,9.7
2456,Dell,74790.0,Intel Core i5 (13th Gen),Not Expandable,16 GB , DDR5 RAM,0.8545454545454546,LCD,15.6 ,"GeForce RTX 3050 GPU, 6 GB",512 GB SSD Storage,No HDD,0.0,Upto 8.5 Hrs Battery Life,8.5
2457,HP,20890.0,AMD Dual-Core Athlon,Not Expandable,4 GB , DDR4 RAM,0.5636363636363636,LCD,15.6 ,Radeon Athlon 3000G,256 GB SSD Storage,No HDD,0.0,Upto 8 Hrs Battery Life,8.0
2458,ASUS,134990.0,AMD Octa-Core Ryzen 9,Not Expandable,16 GB , DDR4 RAM,0.8545454545454546,LED,14 ,Radeon Graphics,1024 GB SSD Storage,No HDD,0.19090909090909092, Upto 10 Hrs Battery Life,10.0
